                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8906,                 2.9859,                 1.6265,                 0.4368,                0.43578,                 0.3866,                 0.1994,                 1.7987,                 2.1372,                 1.5016,              0.0005532,              0.0005532,              0.0005532
                      1,                 1.7809,                 2.1951,                 1.5171,                0.52152,                0.53446,                0.50482,                 0.2397,                  1.772,                  1.695,                 1.5025,              0.0010979,              0.0010979,              0.0010979
                      2,                 1.7019,                 2.0223,                 1.4877,                0.44749,                0.42698,                0.37753,                0.21286,                 1.7228,                 1.9175,                 1.4536,              0.0016316,              0.0016316,              0.0016316
                      3,                 1.7228,                 1.9214,                 1.4622,                0.43318,                0.53285,                0.41471,                0.21149,                 1.7386,                 1.7735,                 1.4618,              0.0016175,              0.0016175,              0.0016175
                      4,                 1.6927,                 1.8832,                   1.47,                0.51341,                 0.5363,                0.47923,                 0.2511,                 1.6612,                 1.6599,                 1.4856,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.6767,                 1.8263,                 1.4745,                0.47762,                 0.6347,                0.55742,                 0.2923,                  1.635,                 1.5468,                 1.3988,               0.001601,               0.001601,               0.001601
                      6,                 1.6503,                  1.882,                 1.4399,                0.46484,                0.67595,                0.55061,                0.28868,                 1.6721,                 1.5546,                 1.4247,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.6005,                 1.7584,                 1.4205,                 0.4494,                0.56735,                0.49223,                0.26953,                 1.6152,                 1.5941,                  1.388,               0.001568,               0.001568,               0.001568
                      8,                 1.5559,                  1.765,                 1.4031,                0.48631,                0.60607,                0.54945,                0.28462,                 1.6334,                 1.5851,                 1.3945,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.5383,                 1.6603,                 1.3844,                0.50702,                0.57889,                0.54091,                0.29731,                 1.6005,                 1.5299,                 1.4175,               0.001535,               0.001535,               0.001535
                     10,                 1.5124,                 1.6522,                   1.37,                0.59137,                0.58684,                0.59823,                0.32933,                 1.5641,                 1.5215,                 1.3703,              0.0015185,              0.0015185,              0.0015185
